imdb_id,title,year,id,name,character
tt0116379,The Break,1997.0,nm0243696,James Dora,Mandon Moore
tt0120087,The Second Jungle Book: Mowgli & Baloo,1997.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0124972,81,1997.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0124972,81,1997.0,nm0734498,Lalor Roddy,Catspaw Assassin
tt0140934,Dance Lexie Dance,1996.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0145257,Out of the Deep Pan,1996.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0145257,Out of the Deep Pan,1996.0,nm0050520,Peter Ballance,Farlen
tt0145257,Out of the Deep Pan,1996.0,nm0384152,Conleth Hill,Lord Varys
tt0145257,Out of the Deep Pan,1996.0,nm0516385,Tim Loane,White Walker
tt0130180,Past Into Present,1996.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0185105,Runway One,1995.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0114007,Nothing Personal,1995.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0114007,Nothing Personal,1995.0,nm0243696,James Dora,Mandon Moore
tt0100603,Shoot to Kill,1990.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0100603,Shoot to Kill,1990.0,nm0568400,Ian McElhinney,Barristan Selmy
tt0100603,Shoot to Kill,1990.0,nm0734304,Paddy Rock,Knight of House Lynderly
tt0100603,Shoot to Kill,1990.0,nm1794801,Colin Carnegie,Stevron Frey
tt0100603,Shoot to Kill,1990.0,nm0534062,Oengus MacNamara,Thin Man
tt0097270,Elephant,1989.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0097270,Elephant,1989.0,nm0734304,Paddy Rock,Knight of House Lynderly
tt0097270,Elephant,1989.0,nm0516385,Tim Loane,White Walker
tt0420384,Crossfire,1988.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0338528,The Venus de Milo Instead,1987.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0090993,Eat the Peach,1986.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0090993,Eat the Peach,1986.0,nm0571654,Fintan McKeow,Amory Lorch
tt0089090,The End of the World Man,1986.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0089090,The End of the World Man,1986.0,nm0568400,Ian McElhinney,Barristan Selmy
tt0769469,The Ties of Blood,1985.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0338546,We'll Support You Evermore,1985.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0248087,The Hidden Curriculum,1984.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0087286,Four Days in July,1984.0,nm0389698,B.J. Hogg,Addam Marbrand
tt5083610,Survive,2016.0,nm6729880,Chuku Modu,Akho
tt6071620,Open All Night,2016.0,nm6729880,Chuku Modu,Akho
tt5660976,Heavy Weight,2016.0,nm6729880,Chuku Modu,Akho
tt2674426,Me Before You,2016.0,nm6729880,Chuku Modu,Akho
tt2674426,Me Before You,2016.0,nm3592338,Emilia Clarke,Daenerys Targaryen
tt2674426,Me Before You,2016.0,nm0819087,Samantha Spiro,Melessa Tarly
tt2674426,Me Before You,2016.0,nm0001097,Charles Dance,Tywin Lannister
tt4279814,Stages,2015.0,nm6729880,Chuku Modu,Akho
tt3986446,Loft No.5,2014.0,nm6729880,Chuku Modu,Akho
tt4329402,The Last Days of Margaret Thatcher,2014.0,nm6729880,Chuku Modu,Akho
tt4613202,The Dawn,2014.0,nm6729880,Chuku Modu,Akho
tt4671060,The Dark Channel,,nm0203801,Karl Davie,Alton Lannister
tt4671060,The Dark Channel,,nm0443825,Dermot Keaney,Gared
tt5613498,The People Next Door,2016.0,nm0203801,Karl Davie,Alton Lannister
tt5613498,The People Next Door,2016.0,nm1652341,Jamie Michie,Steelshanks Walton
tt4485806,Fractured,2016.0,nm0203801,Karl Davie,Alton Lannister
tt4838846,NSFW,2015.0,nm0203801,Karl Davie,Alton Lannister
tt4794238,Nipplejesus,2015.0,nm0203801,Karl Davie,Alton Lannister
tt4794238,Nipplejesus,2015.0,nm3849670,Faye Marsay,The Waif
tt4406218,Virtuoso,2015.0,nm0203801,Karl Davie,Alton Lannister
tt4406218,Virtuoso,2015.0,nm6301068,Sabrina Bartlett,Handmaid
tt2261331,Black Sea,2014.0,nm0203801,Karl Davie,Alton Lannister
tt2261331,Black Sea,2014.0,nm0580014,Tobias Menzie,Edmure Tully
tt3596436,Home for Christmas,2014.0,nm0203801,Karl Davie,Alton Lannister
tt2645188,The Quiet Hour,2014.0,nm0203801,Karl Davie,Alton Lannister
tt3311900,Castles in the Sky,2014.0,nm0203801,Karl Davie,Alton Lannister
tt3311900,Castles in the Sky,2014.0,nm0570570,Tim McInnerny,Robett Glover
tt3494220,The Crimson Field,2014.0,nm0203801,Karl Davie,Alton Lannister
tt3494220,The Crimson Field,2014.0,nm0562003,Jodhi May,Maggy
tt3494220,The Crimson Field,2014.0,nm4523680,Kerr Loga,Matthos Seaworth
tt3494220,The Crimson Field,2014.0,nm2772105,Oona Chapli,Talisa Maegyr
tt1378782,Spunkbubble,2009.0,nm0203801,Karl Davie,Alton Lannister
tt1378782,Spunkbubble,2009.0,nm0318821,Aidan Gille,Petyr Baelish
tt1343399,The Unsinkable Titanic,2008.0,nm0203801,Karl Davie,Alton Lannister
tt0490114,Octane,2007.0,nm0203801,Karl Davie,Alton Lannister
tt1074218,A Very British Sex Scandal,2007.0,nm0203801,Karl Davie,Alton Lannister
tt1074218,A Very British Sex Scandal,2007.0,nm0004355,Roger Ashton-Griffith,Mace Tyrell
tt0918509,Dead Clever: The Life and Crimes of Julie Bottomley,2007.0,nm0203801,Karl Davie,Alton Lannister
tt0945364,Me and Her,2006.0,nm0203801,Karl Davie,Alton Lannister
tt5656270,Panic,2016.0,nm0853583,Owen Teale,Alliser Thorne
tt6427146,National Theatre Live: No Man's Land,2016.0,nm0853583,Owen Teale,Alliser Thorne
tt5036134,Nocturne,2016.0,nm0853583,Owen Teale,Alliser Thorne
tt4539954,Houdini and Doyle,2016.0,nm0853583,Owen Teale,Alliser Thorne
tt4539954,Houdini and Doyle,2016.0,nm0570570,Tim McInnerny,Robett Glover
tt4539954,Houdini and Doyle,2016.0,nm7509185,Sebastian Croft,Young Ned Stark
tt4539954,Houdini and Doyle,2016.0,nm0634139,Reece Noi,Mossador
tt4539954,Houdini and Doyle,2016.0,nm3745225,Charlotte Hope,Myranda
tt4258440,River,2015.0,nm0853583,Owen Teale,Alliser Thorne
tt4258440,River,2015.0,nm1086981,Josef Alti,Pypar
tt3769244,Under Milk Wood,2014.0,nm0853583,Owen Teale,Alliser Thorne
tt3769244,Under Milk Wood,2014.0,nm0700059,Robert Pugh,Craster
tt3769244,Under Milk Wood,2014.0,nm0000596,Jonathan Pryce,High Sparrow
tt3769244,Under Milk Wood,2014.0,nm3701064,Iwan Rheo,Ramsay Snow
tt3769244,Under Milk Wood,2014.0,nm0428765,Mark Lewis Jone,Shagga
tt2363435,The Fold,2013.0,nm0853583,Owen Teale,Alliser Thorne
tt2002595,Act of Memory: A Christmas Story,2011.0,nm0853583,Owen Teale,Alliser Thorne
tt1727300,Hunky Dory,2011.0,nm0853583,Owen Teale,Alliser Thorne
tt1727300,Hunky Dory,2011.0,nm0700059,Robert Pugh,Craster
tt1408303,A Meeting at Last,2008.0,nm0853583,Owen Teale,Alliser Thorne
tt1172060,It's Alive,2008.0,nm0853583,Owen Teale,Alliser Thorne
tt1119190,Love Me Forever,2008.0,nm0853583,Owen Teale,Alliser Thorne
tt1208818,The Children,2008.0,nm0853583,Owen Teale,Alliser Thorne
tt0974005,Inconceivable,2008.0,nm0853583,Owen Teale,Alliser Thorne
tt0974005,Inconceivable,2008.0,nm2772105,Oona Chapli,Talisa Maegyr
tt0462396,The Last Legion,2007.0,nm0853583,Owen Teale,Alliser Thorne
tt0462396,The Last Legion,2007.0,nm0700059,Robert Pugh,Craster
tt0462396,The Last Legion,2007.0,nm0796502,Alexander Siddig,Doran Martell
tt0462396,The Last Legion,2007.0,nm0181920,James Cosmo,Jeor Mormont
tt0462396,The Last Legion,2007.0,nm0322513,Iain Gle,Jorah Mormont
tt0462396,The Last Legion,2007.0,nm1032473,Thomas Brodie-Sangster,Jojen Reed
tt0462396,The Last Legion,2007.0,nm0298842,Vladimir 'Furdo' Furdik,The Night King
tt0462396,The Last Legion,2007.0,nm1996829,Nonso Anozie,Xaro Xhoan Daxos
tt0758789,Tsunami: The Aftermath,2006.0,nm0853583,Owen Teale,Alliser Thorne
tt0989738,Murder in Rome,2005.0,nm0853583,Owen Teale,Alliser Thorne
tt0476301,"Marian, Again",2005.0,nm0853583,Owen Teale,Alliser Thorne
tt0401019,Island at War,2004.0,nm0853583,Owen Teale,Alliser Thorne
tt0349683,King Arthur,2004.0,nm0853583,Owen Teale,Alliser Thorne
tt0349683,King Arthur,2004.0,nm0751085,Clive Russell,Brynden Tully
tt0349683,King Arthur,2004.0,nm0639569,Gerry O'Brie,Jonos Bracken
tt0349683,King Arthur,2004.0,nm0226820,Stephen Dillane,Stannis Baratheon
tt0276199,Jack Brown and the Curse of the Crown,2004.0,nm0853583,Owen Teale,Alliser Thorne
tt0276199,Jack Brown and the Curse of the Crown,2004.0,nm0822062,John Standing,Jon Arryn
tt0286739,Judas,2004.0,nm0853583,Owen Teale,Alliser Thorne
tt0312398,Auto da Fe,2002.0,nm0853583,Owen Teale,Alliser Thorne
tt0179051,Ted and Alice,2002.0,nm0853583,Owen Teale,Alliser Thorne
tt0250716,The Search for John Gissing,2001.0,nm0853583,Owen Teale,Alliser Thorne
tt0266425,Conspiracy,2001.0,nm0853583,Owen Teale,Alliser Thorne
tt0266425,Conspiracy,2001.0,nm1090815,Ross O'Hennessy,Rattleshirt
tt0144134,The Cherry Orchard,1999.0,nm0853583,Owen Teale,Alliser Thorne
tt0178130,Cleopatra,1999.0,nm0853583,Owen Teale,Alliser Thorne
tt0178130,Cleopatra,1999.0,nm0181920,James Cosmo,Jeor Mormont
tt0173761,Death of a Salesman,1996.0,nm0853583,Owen Teale,Alliser Thorne
tt0173761,Death of a Salesman,1996.0,nm0322513,Iain Gle,Jorah Mormont
tt0116987,Marco Polo: Haperek Ha'aharon,1996.0,nm0853583,Owen Teale,Alliser Thorne
tt0118169,Wilderness,1996.0,nm0853583,Owen Teale,Alliser Thorne
tt0118169,Wilderness,1996.0,nm0889338,Rupert Vansittart,Yohn Royce
tt0215693,Dangerous Lady,1995.0,nm0853583,Owen Teale,Alliser Thorne
tt0114821,The Vacillations of Poppy Carew,1995.0,nm0853583,Owen Teale,Alliser Thorne
tt0114821,The Vacillations of Poppy Carew,1995.0,nm0001216,Tara Fitzgerald,Selyse Baratheon
tt0107088,The Hawk,1993.0,nm0853583,Owen Teale,Alliser Thorne
tt0107088,The Hawk,1993.0,nm0751085,Clive Russell,Brynden Tully
tt0096601,Great Expectations,1991.0,nm0853583,Owen Teale,Alliser Thorne
tt0102797,Robin Hood,1991.0,nm0853583,Owen Teale,Alliser Thorne
tt0097352,The Fifteen Streets,1989.0,nm0853583,Owen Teale,Alliser Thorne
tt0097352,The Fifteen Streets,1989.0,nm0000293,Sean Bea,Eddard Stark
tt0096416,War Requiem,1989.0,nm0853583,Owen Teale,Alliser Thorne
tt0096416,War Requiem,1989.0,nm0000293,Sean Bea,Eddard Stark
tt0092335,David Copperfield,1986.0,nm0853583,Owen Teale,Alliser Thorne
tt0087724,The Mimosa Boys,1984.0,nm0853583,Owen Teale,Alliser Thorne
tt5594080,To Walk Invisible: The Bronte Sisters,,nm8257864,Megan Parkinso,Alys Karstark
tt5594080,To Walk Invisible: The Bronte Sisters,,nm0000596,Jonathan Pryce,High Sparrow
tt5639464,"Damilola, Our Loved Boy",,nm8257864,Megan Parkinso,Alys Karstark
tt5639464,"Damilola, Our Loved Boy",,nm0700059,Robert Pugh,Craster
tt5806540,Leatherbird,2016.0,nm1528121,Philip McGinley,Anguy
tt5378206,Pop Up,2016.0,nm1528121,Philip McGinley,Anguy
tt3818824,Leatherbird,2014.0,nm1528121,Philip McGinley,Anguy
tt2375597,Almost Married,2014.0,nm1528121,Philip McGinley,Anguy
tt3463272,How to Get Mugged,2014.0,nm1528121,Philip McGinley,Anguy
tt2818268,Molehills,2013.0,nm1528121,Philip McGinley,Anguy
tt1446714,Prometheus,2012.0,nm1528121,Philip McGinley,Anguy
tt1446714,Prometheus,2012.0,nm1613839,Ian Whyte,Wun Wun
tt1446714,Prometheus,2012.0,nm0225483,Kate Dickie,Lysa Arryn
tt1446714,Prometheus,2012.0,nm2047170,Emun Elliott,Marillion
tt1446714,Prometheus,2012.0,nm0298842,Vladimir 'Furdo' Furdik,The Night King
tt1798215,Nina Argentina,2011.0,nm1528121,Philip McGinley,Anguy
tt1148750,Cold Blood,2007.0,nm1528121,Philip McGinley,Anguy
tt0448463,Falling,2005.0,nm1528121,Philip McGinley,Anguy
tt0395571,Hawking,2004.0,nm1528121,Philip McGinley,Anguy
tt0398935,The Deputy,2004.0,nm1528121,Philip McGinley,Anguy
tt2245988,The Bible,2013.0,nm0571654,Fintan McKeow,Amory Lorch
tt2245988,The Bible,2013.0,nm0727778,David Rintoul,Aerys II Targaryen
tt2245988,The Bible,2013.0,nm1947403,Conan Steve,Gregor Clegane
tt2245988,The Bible,2013.0,nm1996829,Nonso Anozie,Xaro Xhoan Daxos
tt2245988,The Bible,2013.0,nm0535837,Francis Magee,Yoren
tt2245988,The Bible,2013.0,nm1146807,Gary Oliver,Ternesio Terys
tt0363586,Nature Unleashed: Earthquake,2005.0,nm0571654,Fintan McKeow,Amory Lorch
tt0409999,Gargoyle,2004.0,nm0571654,Fintan McKeow,Amory Lorch
tt0308129,Conspiracy of Silence,2003.0,nm0571654,Fintan McKeow,Amory Lorch
tt0274659,Mermaid Chronicles Part 1: She Creature,2001.0,nm0571654,Fintan McKeow,Amory Lorch
tt0274659,Mermaid Chronicles Part 1: She Creature,2001.0,nm0383835,Dan Hildebrand,Kraznys mo Nakloz
tt0207631,Nostradamus,2000.0,nm0571654,Fintan McKeow,Amory Lorch
tt0121744,Shergar,1999.0,nm0571654,Fintan McKeow,Amory Lorch
tt0166396,Waking Ned Devine,1998.0,nm0571654,Fintan McKeow,Amory Lorch
tt0120246,Supply & Demand,1997.0,nm0571654,Fintan McKeow,Amory Lorch
tt0120246,Supply & Demand,1997.0,nm0894857,David Verrey,High Septon
tt0120246,Supply & Demand,1997.0,nm0863130,Ramon Tikaram,Prendahl na Ghezn
tt0120246,Supply & Demand,1997.0,nm0231871,Ron Donachie,Rodrik Cassel
tt0120246,Supply & Demand,1997.0,nm0889338,Rupert Vansittart,Yohn Royce
tt0110116,Immortal Beloved,1994.0,nm0571654,Fintan McKeow,Amory Lorch
tt0297599,Parnell & the Englishwoman,1991.0,nm0571654,Fintan McKeow,Amory Lorch
tt0947022,Hostage,1985.0,nm0571654,Fintan McKeow,Amory Lorch
tt6131920,In Plain Sight,2016.0,nm0727778,David Rintoul,Aerys II Targaryen
tt6131920,In Plain Sight,2016.0,nm0360171,Ian Hanmore,Pyat Pree
tt3703592,Canuck Black,2014.0,nm0727778,David Rintoul,Aerys II Targaryen
tt3981112,Crystal Skulls,2014.0,nm0727778,David Rintoul,Aerys II Targaryen
tt2404583,Ironclad: Battle for Blood,2014.0,nm0727778,David Rintoul,Aerys II Targaryen
tt2404583,Ironclad: Battle for Blood,2014.0,nm0265610,Michelle Fairley,Catelyn Stark
tt2404583,Ironclad: Battle for Blood,2014.0,nm1861467,Roxanne McKee,Doreah
tt2404583,Ironclad: Battle for Blood,2014.0,nm0065874,Andy Beckwith,Rorge
tt3210686,Son of God,2014.0,nm0727778,David Rintoul,Aerys II Targaryen
tt3210686,Son of God,2014.0,nm1947403,Conan Steve,Gregor Clegane
tt3210686,Son of God,2014.0,nm1996829,Nonso Anozie,Xaro Xhoan Daxos
tt3210686,Son of God,2014.0,nm1146807,Gary Oliver,Ternesio Terys
tt1856047,Agent Hamilton: But Not If It Concerns Your Daughter,2012.0,nm0727778,David Rintoul,Aerys II Targaryen
tt1007029,The Iron Lady,2011.0,nm0727778,David Rintoul,Aerys II Targaryen
tt1007029,The Iron Lady,2011.0,nm0000980,Jim Broadbent,Archmaester Marwyn
tt1007029,The Iron Lady,2011.0,nm0072855,Paul Bentley,High Septon
tt1007029,The Iron Lady,2011.0,nm0019885,Roger Allam,Illyrio Mopatis
tt1007029,The Iron Lady,2011.0,nm0001290,Richard E. Grant,Izembaro
